"AREAKEY","GEO2000","TCH70_00","PCTCOV70","STATECD","STATECE","STUSAB","COUNCD","UCOUNTY","TRCTCD1","TRCTCD2","REGION","DIVIS","SHRNHW9","SHRNHB9","SHRNHI9","SHRNHA9","SHRNHO9","SHRHSP9","FFH9","EDUC169","EDUCPP9","UNEMPRT9","WELFARE9","MDFAMY9","AVHHIN9","MDVALHS9","SHRNHW0","SHRNHB0","SHRNHI0","SHRNHA0","SHRNHO0","SHRHSP0","FFH0","EDUC160","EDUCPP0","UNEMPRT0","WELFARE0","MDFAMY0","AVHHIN0","MDVALHS0"
"06037222500","06037222500","0","100.00","06","93","CA","037","06037","2225","","4","9","0.00680113","0.55769231","0.000000","0.016417","0.007036","0.41205441","0.49925706","109","2277","0.14441261","0.26256078","20071","25192.808752","118600","0.009240","0.403876","0.000225","0.003606","0.001578","0.581474","0.393646","150","2503","0.146637","0.273322","28858","34681.505728","150600"
"06037222600","06037222600","0","100.00","06","93","CA","037","06037","2226","","4","9","0.01792829","0.58167331","0.003079","0.020826","0.001811","0.37468309","0.49368864","266","2896","0.16619028","0.25492611","19542","24568.690271","132500","0.027450","0.339352","0.001290","0.030766","0.002948","0.598195","0.434733","281","2887","0.167009","0.246721","23676","31258.525921","159500"
"06037222700","06037222700","0","100.00","06","93","CA","037","06037","2227","","4","9","0.70297398","0.02416357","0.000000","0.213383","0.000000","0.05947955","0.00000000","0","0","0.06507592","0.00000000","0","4797.325000","0","0.481013","0.004219","0.000000","0.421941","0.000000","0.092827","0.000000","0","14","0.000000","0.000000","11250","6165.540541","0"
"06037224010","06037224010","1","100.00","06","93","CA","037","06037","2240","10","4","9","0.02251908","0.03625954","0.003053","0.020992","0.000000","0.91717557","0.43292683","31","1296","0.09744624","0.13803231","8405","19857.756241","62306","0.036510","0.066487","0.009608","0.067256","0.000000","0.820138","0.327217","54","1587","0.157795","0.146199","21071","20600.116959","193300"
"06037224020","06037224020","1","100.00","06","93","CA","037","06037","2240","20","4","9","0.02257688","0.03659011","0.003114","0.020631","0.000000","0.91708836","0.43613707","30","1270","0.09732694","0.13943028","8242","19880.241379","61094","0.016568","0.004248","0.000000","0.000000","0.015293","0.963891","0.301449","43","1251","0.107798","0.238422","22952","37210.634648","135600"
"06037224200","06037224200","0","100.00","06","93","CA","037","06037","2242","","4","9","0.05121951","0.01402439","0.000000","0.031098","0.006707","0.89695122","0.31645570","32","1657","0.06375839","0.06096131","14441","18688.847597","142900","0.040430","0.046299","0.004565","0.008477","0.000000","0.900228","0.269953","100","1721","0.154170","0.198385","20754","33825.836217","164100"
"06037224310","06037224310","3","100.00","06","93","CA","037","06037","2243","10","4","9","0.02565199","0.02094912","0.004275","0.026935","0.009833","0.91235571","0.25753425","57","1267","0.14677277","0.16275430","6195","18460.009390","72686","0.027607","0.016214","0.003506","0.026293","0.000000","0.926380","0.391185","68","1192","0.158654","0.145516","17241","34192.554992","152800"
"06037224320","06037224320","3","100.00","06","93","CA","037","06037","2243","20","4","9","0.02578019","0.02116689","0.004342","0.026594","0.009498","0.91261872","0.25609756","90","1995","0.14702581","0.16401590","9760","18473.213718","114514","0.014774","0.024623","0.001847","0.028009","0.008926","0.921822","0.314534","73","1738","0.118288","0.186323","19444","27843.904856","215700"
"06037224410","06037224410","4","100.00","06","93","CA","037","06037","2244","10","4","9","0.09194215","0.05630165","0.006973","0.029700","0.005424","0.80965909","0.33027523","221","1936","0.08660131","0.12807882","10340","21718.902463","80488","0.094676","0.046582","0.000000","0.115245","0.007562","0.735935","0.361949","358","1768","0.025751","0.089184","24701","27551.612903","183800"
"06037224420","06037224420","4","100.00","06","93","CA","037","06037","2244","20","4","9","0.09184953","0.05642633","0.006897","0.029781","0.005329","0.80971787","0.32962138","182","1595","0.08664021","0.12799043","8518","21724.315789","66310","0.064609","0.050617","0.004527","0.027572","0.000000","0.852675","0.410557","202","1261","0.100398","0.257687","23917","29466.764275","189400"
"06037224600","06037224600","0","100.00","06","93","CA","037","06037","2246","","4","9","0.01147776","0.08106169","0.000000","0.002391","0.011956","0.89311334","0.31603053","17","2026","0.13735343","0.19527897","16554","20768.521459","97300","0.019938","0.070171","0.000000","0.012170","0.000000","0.897721","0.299296","80","1972","0.082691","0.178241","24167","30625.000000","157500"
"06037224700","06037224700","0","100.00","06","93","CA","037","06037","2247","","4","9","0.69257598","0.06003986","0.008719","0.097160","0.006976","0.13452915","0.55555556","202","811","0.04498080","0.02301055","18393","13555.133269","0","0.548184","0.063671","0.003250","0.229446","0.002103","0.153346","0.794872","331","637","0.143033","0.032290","18571","11726.516634","256300"
"06037226000","06037226000","2","100.00","06","93","CA","037","06037","2260","","4","9","0.04277818","0.08747897","0.000000","0.045902","0.007450","0.81639029","0.20352250","118","2519","0.15486142","0.17745098","17652","22699.810784","91200","0.051749","0.137524","0.007325","0.075378","0.005907","0.722117","0.334842","224","2547","0.297056","0.193303","21351","24641.171994","174800"
"06037226410","06037226410","3","100.00","06","93","CA","037","06037","2264","10","4","9","0.00480641","0.11508678","0.000534","0.028838","0.003471","0.84726302","0.28571429","69","1800","0.14952681","0.20867526","8804","24159.980070","57874","0.007018","0.015789","0.000000","0.029073","0.000000","0.948120","0.256458","44","1836","0.129601","0.243697","26503","42757.142857","177500"
"06037226420","06037226420","3","100.00","06","93","CA","037","06037","2264","20","4","9","0.00487391","0.11485484","0.000636","0.028820","0.003602","0.84721339","0.28453039","88","2269","0.14972459","0.20949721","11094","24179.279330","72926","0.003104","0.093501","0.009505","0.033366","0.000000","0.860524","0.299291","137","2575","0.090035","0.186396","25053","69079.681979","147600"
"06037226700","06037226700","0","100.00","06","93","CA","037","06037","2267","","4","9","0.00690236","0.14562290","0.000000","0.005219","0.003199","0.83905724","0.20665083","64","2779","0.11777488","0.11102424","18125","22160.348710","106800","0.006802","0.055959","0.000773","0.000155","0.000000","0.936312","0.244604","69","3012","0.086854","0.214608","23591","32492.921687","146700"
"06037227010","06037227010","4","100.00","06","93","CA","037","06037","2270","10","4","9","0.00878774","0.16088328","0.001577","0.001577","0.001127","0.82604777","0.25535168","86","2018","0.13318777","0.18360656","11517","28242.677596","61979","0.023737","0.069583","0.000000","0.000233","0.000000","0.906446","0.248408","102","2039","0.124183","0.262277","22059","28778.906250","185100"
"06037227020","06037227020","4","100.00","06","93","CA","037","06037","2270","20","4","9","0.00902527","0.16095066","0.001805","0.001504","0.000903","0.82581227","0.25510204","64","1511","0.13328478","0.18367347","8626","28214.756560","46421","0.003103","0.104372","0.000000","0.001410","0.000000","0.891114","0.208333","31","1603","0.065015","0.215297","26042","32132.719547","162200"
